Unnamed: 0,City,No. Stations,Air Quality,Index Value,Prominent Pollutant,year,Date,Season,Temp,Humidity,WindSpeed
167565,Lucknow,6,Moderate,110,"PM10, PM2.5",2022,2022-01-13,Winter,13.2,84.3,11.2
167590,Mumbai,15,Poor,208,PM2.5,2022,2022-01-14,Winter,23.7,69.9,17.2
167615,Lucknow,6,Moderate,167,"PM10, PM2.5",2022,2022-01-14,Winter,12.8,84.9,7.6
167709,Jaipur,1,Moderate,116,PM2.5,2022,2022-01-14,Winter,12.5,80.9,11.2
167725,Delhi,36,Very Poor,348,PM2.5,2022,2022-01-14,Winter,10.5,94.6,11.2
167757,Mumbai,16,Moderate,182,PM2.5,2022,2022-01-15,Winter,24.5,65.6,15.5
167816,Delhi,35,Poor,258,PM2.5,2022,2022-01-15,Winter,10.0,93.9,14.8
167864,Lucknow,5,Moderate,163,"PM10, PM2.5",2022,2022-01-15,Winter,10.4,90.2,9.4
167881,Jaipur,2,Moderate,132,"PM10, PM2.5",2022,2022-01-15,Winter,10.9,92.2,11.2
167899,Jaipur,1,Moderate,120,PM2.5,2022,2022-01-16,Winter,10.5,89.5,9.4
167913,Lucknow,5,Moderate,154,PM2.5,2022,2022-01-16,Winter,9.5,88.7,7.6
167962,Delhi,31,Poor,264,PM2.5,2022,2022-01-16,Winter,10.7,87.5,9.4
168027,Mumbai,14,Moderate,160,PM2.5,2022,2022-01-16,Winter,26.1,55.0,15.4
168077,Mumbai,14,Moderate,147,"CO, PM10, PM2.5",2022,2022-01-17,Winter,26.7,59.5,14.8
168102,Jaipur,1,Satisfactory,87,PM10,2022,2022-01-17,Winter,9.9,92.5,13.0
168117,Delhi,32,Very Poor,327,PM2.5,2022,2022-01-17,Winter,11.2,88.5,7.6
168161,Lucknow,6,Moderate,148,"PM10, PM2.5",2022,2022-01-17,Winter,9.8,88.7,11.2
168234,Delhi,31,Very Poor,352,"PM10, PM2.5",2022,2022-01-18,Winter,10.6,92.2,14.8
168305,Jaipur,2,Moderate,168,PM2.5,2022,2022-01-18,Winter,12.2,77.5,14.8
168319,Mumbai,19,Moderate,171,PM2.5,2022,2022-01-18,Winter,26.2,61.9,19.8
168329,Lucknow,6,Moderate,164,"PM10, PM2.5",2022,2022-01-18,Winter,8.4,90.5,14.8
168345,Lucknow,6,Moderate,185,"PM10, PM2.5",2022,2022-01-19,Winter,9.9,90.3,9.4
168359,Mumbai,19,Moderate,181,PM2.5,2022,2022-01-19,Winter,25.3,58.3,16.6
168372,Jaipur,3,Moderate,166,PM2.5,2022,2022-01-19,Winter,14.8,74.7,11.2
168475,Delhi,34,Very Poor,322,"PM10, PM2.5",2022,2022-01-19,Winter,11.9,89.4,11.2
168496,Jaipur,2,Moderate,103,"PM10, PM2.5",2022,2022-01-20,Winter,15.3,80.4,14.8
168522,Lucknow,6,Poor,252,"PM10, PM2.5",2022,2022-01-20,Winter,11.1,89.4,3.6
168565,Delhi,32,Very Poor,387,"PM10, PM2.5",2022,2022-01-20,Winter,12.7,92.4,13.0
168568,Mumbai,17,Moderate,154,"PM10, PM2.5",2022,2022-01-20,Winter,24.7,59.5,18.7
168656,Mumbai,17,Moderate,110,"PM10, PM2.5",2022,2022-01-21,Winter,24.5,73.6,19.4
168668,Lucknow,5,Poor,300,PM2.5,2022,2022-01-21,Winter,14.1,85.0,5.4
168721,Jaipur,2,Moderate,138,"PM10, PM2.5",2022,2022-01-21,Winter,12.6,88.7,18.4
168746,Delhi,35,Very Poor,365,PM2.5,2022,2022-01-21,Winter,13.4,90.4,9.3
168816,Delhi,36,Very Poor,316,PM2.5,2022,2022-01-22,Winter,13.0,94.3,20.5
168842,Jaipur,2,Moderate,152,"PM10, PM2.5",2022,2022-01-22,Winter,15.2,86.6,18.4
168919,Mumbai,17,Satisfactory,99,"PM10, PM2.5",2022,2022-01-22,Winter,24.6,78.4,22.3
168931,Lucknow,6,Poor,255,PM2.5,2022,2022-01-22,Winter,12.3,92.3,16.6
169013,Mumbai,17,Poor,247,"PM10, PM2.5",2022,2022-01-23,Winter,22.8,56.7,22.3
169070,Delhi,29,Poor,202,PM2.5,2022,2022-01-23,Winter,12.6,94.4,20.5
169087,Lucknow,5,Moderate,150,"PM10, PM2.5",2022,2022-01-23,Winter,14.3,92.9,22.3
169106,Jaipur,3,Moderate,148,"PM10, PM2.5",2022,2022-01-23,Winter,12.7,78.6,14.8
169182,Delhi,32,Poor,241,PM2.5,2022,2022-01-24,Winter,11.7,93.5,7.6
169193,Lucknow,6,Moderate,172,PM2.5,2022,2022-01-24,Winter,14.8,91.2,11.2
169212,Mumbai,15,Very Poor,381,"PM10, PM2.5",2022,2022-01-24,Winter,20.4,39.6,22.3
169252,Jaipur,2,Satisfactory,81,PM10,2022,2022-01-24,Winter,12.7,72.0,14.8
169271,Delhi,36,Poor,234,"PM10, PM2.5",2022,2022-01-25,Winter,10.0,94.5,13.0
169281,Jaipur,2,Moderate,103,PM10,2022,2022-01-25,Winter,13.6,67.2,14.8
169394,Lucknow,6,Moderate,123,PM2.5,2022,2022-01-25,Winter,13.1,83.2,14.8
169398,Mumbai,18,Poor,268,"PM10, PM2.5",2022,2022-01-25,Winter,21.3,48.0,13.5
169420,Mumbai,15,Poor,267,"PM10, PM2.5",2022,2022-01-26,Winter,22.6,50.5,19.3
169445,Lucknow,6,Moderate,117,"PM10, PM2.5",2022,2022-01-26,Winter,10.8,88.9,11.2
169534,Jaipur,2,Satisfactory,100,"PM10, PM2.5",2022,2022-01-26,Winter,13.2,65.6,14.8
169545,Delhi,34,Poor,260,"PM10, PM2.5",2022,2022-01-26,Winter,11.2,92.5,14.8
169598,Jaipur,2,Moderate,128,PM10,2022,2022-01-27,Winter,13.5,60.7,11.2
169602,Delhi,36,Poor,262,"PM10, PM2.5",2022,2022-01-27,Winter,12.2,83.9,18.4
169667,Lucknow,6,Moderate,150,"PM10, PM2.5",2022,2022-01-27,Winter,11.3,86.9,15.8
169688,Mumbai,14,Poor,212,"PM10, PM2.5",2022,2022-01-27,Winter,24.1,51.3,16.8
169754,Delhi,35,Poor,215,"PM10, PM2.5",2022,2022-01-28,Winter,12.7,76.0,22.3
169763,Lucknow,6,Moderate,150,"PM10, PM2.5",2022,2022-01-28,Winter,12.5,75.8,18.4
169785,Jaipur,2,Moderate,106,PM10,2022,2022-01-28,Winter,14.1,57.5,14.8
169807,Mumbai,17,Moderate,160,"PM10, PM2.5",2022,2022-01-28,Winter,25.6,40.0,16.6
169895,Lucknow,6,Moderate,190,"PM10, PM2.5",2022,2022-01-29,Winter,13.4,76.0,18.4
169922,Mumbai,16,Moderate,162,"O3, PM10, PM2.5",2022,2022-01-29,Winter,25.5,39.1,18.4
169979,Jaipur,2,Moderate,194,"PM10, PM2.5",2022,2022-01-29,Winter,15.8,53.5,11.2
170003,Delhi,35,Poor,251,"PM10, PM2.5",2022,2022-01-29,Winter,13.7,73.8,14.9
170018,Jaipur,2,Poor,226,"PM10, PM2.5",2022,2022-01-30,Winter,17.3,50.3,14.8
170059,Delhi,36,Poor,278,"PM10, PM2.5",2022,2022-01-30,Winter,14.6,78.2,27.7
170099,Lucknow,6,Moderate,154,"PM10, PM2.5",2022,2022-01-30,Winter,15.2,75.1,20.5
170112,Mumbai,16,Moderate,168,"PM10, PM2.5",2022,2022-01-30,Winter,25.3,46.2,14.9
170155,Delhi,32,Very Poor,338,"PM10, PM2.5",2022,2022-01-31,Winter,14.3,80.5,13.0
170174,Jaipur,1,Moderate,200,PM2.5,2022,2022-01-31,Winter,17.7,57.1,14.8
170260,Lucknow,6,Moderate,190,"PM10, PM2.5",2022,2022-01-31,Winter,13.4,89.2,9.4
170285,Mumbai,14,Moderate,176,"PM10, PM2.5",2022,2022-01-31,Winter,24.5,52.4,16.0
170309,Lucknow,5,Moderate,176,"PM10, PM2.5",2022,2022-02-01,Winter,14.1,84.6,14.8
170322,Jaipur,2,Poor,248,PM2.5,2022,2022-02-01,Winter,19.6,60.4,22.3
170329,Mumbai,13,Moderate,185,"PM10, PM2.5",2022,2022-02-01,Winter,23.5,57.5,17.2
170399,Delhi,9,Very Poor,346,"PM10, PM2.5",2022,2022-02-01,Winter,13.4,89.2,13.0
170437,Jaipur,3,Moderate,142,"PM10, PM2.5",2022,2022-02-02,Winter,17.6,62.7,14.8
170442,Delhi,38,Very Poor,319,"PM10, PM2.5",2022,2022-02-02,Winter,14.7,83.2,14.8
170500,Mumbai,16,Moderate,179,"PM10, PM2.5",2022,2022-02-02,Winter,23.8,71.1,22.3
170517,Lucknow,6,Moderate,187,PM2.5,2022,2022-02-02,Winter,13.9,83.1,11.2
170581,Mumbai,17,Moderate,187,"PM10, PM2.5",2022,2022-02-03,Winter,24.0,77.2,16.7
170664,Delhi,36,Very Poor,321,PM2.5,2022,2022-02-03,Winter,13.0,90.1,22.7
170687,Lucknow,5,Poor,231,PM2.5,2022,2022-02-03,Winter,15.4,87.9,29.5
170711,Jaipur,2,Moderate,139,PM10,2022,2022-02-03,Winter,16.6,66.1,25.9
170813,Delhi,37,Moderate,152,PM2.5,2022,2022-02-04,Winter,13.1,87.3,14.8
170825,Jaipur,2,Moderate,132,PM10,2022,2022-02-04,Winter,15.7,59.0,14.8
170834,Lucknow,6,Satisfactory,96,"PM10, PM2.5",2022,2022-02-04,Winter,14.5,91.9,11.2
170839,Mumbai,16,Moderate,162,"PM10, PM2.5",2022,2022-02-04,Winter,24.4,56.2,19.4
170874,Mumbai,18,Poor,276,"PM10, PM2.5",2022,2022-02-05,Winter,23.3,53.0,17.2
170886,Lucknow,6,Satisfactory,85,"PM10, PM2.5",2022,2022-02-05,Winter,12.3,90.2,11.2
170982,Jaipur,2,Moderate,106,PM10,2022,2022-02-05,Winter,15.6,56.4,14.8
170993,Delhi,38,Poor,224,"PM10, PM2.5",2022,2022-02-05,Winter,12.5,82.4,8.2
171025,Lucknow,6,Moderate,124,"PM10, PM2.5",2022,2022-02-06,Winter,12.1,87.6,7.6
171041,Jaipur,2,Moderate,102,"PM10, PM2.5",2022,2022-02-06,Winter,16.7,60.6,11.2
171054,Mumbai,16,Poor,228,"O3, PM10, PM2.5",2022,2022-02-06,Winter,24.4,59.5,19.4
171132,Delhi,37,Poor,285,PM2.5,2022,2022-02-06,Winter,14.1,72.0,10.6
171176,Delhi,36,Poor,250,"PM10, PM2.5",2022,2022-02-07,Winter,17.4,72.1,9.4
171228,Lucknow,6,Poor,207,"PM10, PM2.5",2022,2022-02-07,Winter,14.1,80.9,7.9
171256,Jaipur,2,Moderate,120,PM10,2022,2022-02-07,Winter,18.7,57.2,9.4
171292,Mumbai,16,Moderate,181,"PM10, PM2.5",2022,2022-02-07,Winter,23.7,78.5,19.9
171322,Jaipur,2,Moderate,168,PM2.5,2022,2022-02-08,Winter,19.7,59.3,18.4
171348,Lucknow,6,Moderate,178,"PM10, PM2.5",2022,2022-02-08,Winter,16.3,84.7,7.6
171398,Delhi,37,Poor,270,"PM10, PM2.5",2022,2022-02-08,Winter,18.5,77.3,9.4
